TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,14587,14587,1,Locul fosilifer Suslanești,Locul fosilifer Suslanești,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.0615134000778198,0.0615134327057835,Not Applicable,0,Designated,1955,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183700,183700,1,Lacul Scărișoara Galbenă,Lacul Scărișoara Galbenă,Monument al naturii,Natural monument,National,III,Not Applicable,0,0,0,0.0152566003799438,0.0152565633043765,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183485,183485,1,Peștera de la Piscul Negru,Peștera de la Piscul Negru,Rezervatie naturala,Nature reserve,National,IV,Not Applicable,0,0,0,0.507977600097656,0.507977637143683,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183683,183683,1,Lacul Hârtop II,Lacul Hârtop II,Monument al naturii,Natural monument,National,III,Not Applicable,0,0,0,0.00511500000953674,0.00511505190256628,Not Applicable,0,Designated,1994,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183951,183951,1,Platoul carstic Lumea Pierdută,Platoul carstic Lumea Pierdută,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,2.80031158447266,2.80031157301572,Not Applicable,0,Designated,1981,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183717,183717,1,Ferice Plai și Hoanca,Ferice Plai și Hoanca,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.0308438992500305,0.0308438910761556,Not Applicable,0,Designated,1982,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,11781,11781,1,Defileul Crișului Repede,Defileul Crișului Repede,Rezervatie naturala,Nature reserve,National,IV,Not Applicable,0,0,0,4.14033721923828,4.1403350602115,Not Applicable,0,Designated,1955,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183483,183483,1,Peștera nr. 15,Peștera nr. 15,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.0816238975524902,0.0816239228586523,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183953,183953,1,Groapa de la Barsa,Groapa de la Barsa,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,1.8310400390625,1.8310401083409,Not Applicable,0,Designated,1981,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183719,183719,1,Peștera Ciurului Ponor,Peștera Ciurului Ponor,Rezervatie stiintifica,Scientific reserve,National,Ia,Not Applicable,0,0,0,4.07384735107422,4.07384702578311,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
